AREA_NAME,THEFTOVER_RATE_2014,THEFTOVER_RATE_2015,THEFTOVER_RATE_2016,THEFTOVER_RATE_2017,THEFTOVER_RATE_2018,THEFTOVER_RATE_2019,THEFTOVER_RATE_2020,THEFTOVER_RATE_2021,THEFTOVER_RATE_2022,THEFTOVER_RATE_2023,POPULATION_2023,ASSAULT_RATE_2023
South Eglinton-Davisville,21.90340614,16.33453178,21.59011078,5.237247467,15.23229218,14.82286644,24.19784164,28.634151459999998,14.00691032,36.38513565,21987,459.3623657
North Toronto,17.19838333,25.91121101,17.30552864,16.50028801,39.41352844,30.23431587,43.83081436,14.24197102,27.5027504,46.42833328,15077,696.4249878
Dovercourt Village,36.78634644,22.2189312,37.18024826,22.14675903,29.14602089,21.69824982,21.70923996,14.54122448,29.00863075,21.68099976,13837,751.6080322
Junction-Wallace Emerson,21.28837204,20.97579384,24.75349617,24.40413284,27.95638847,15.7548542,35.25402451,31.30992889,31.03541946,34.29878235,26240,872.7134399
Yonge-Bay Corridor,358.5271301,274.1979675,233.301651,289.9511108,349.5392456,481.9092712,259.7980957,188.6518707,358.826416,346.2086792,14731,3686.104248
Bay-Cloverhill,114.253067,89.05939484,85.38587952,88.36152649,60.60973358,58.45560455,39.76143265,55.59570694,48.56988525,68.22356415,19055,745.2112427
Bendale-Glen Andrew,32.18711472,42.29224014,41.6016655,87.04557037,65.46809387,39.69238281,19.70443344,34.43864822,63.4301033,96.27882385,20773,1140.904053
Downsview,31.68969536,69.71733093,18.96213913,80.91622162,18.33852959,42.19155121,59.89458466,29.90073013,88.82572174,99.98235321,17003,1223.313477
Oakdale-Beverley Heights,49.1714592,19.72678375,39.50617218,43.86820221,52.84650421,33.23836517,66.23143005,85.29592896,89.39073181,106.9618225,21503,2078.779785
Avondale,15.58360577,7.385524273,42.05509186,34.27239609,33.4716835,26.24499702,19.41621971,32.16675186,56.96202469,30.96166992,16149,309.6166992
East Willowdale,18.97053337,25.06579781,18.60119057,36.36143112,17.71269989,51.99006271,22.79981804,28.28694344,72.32669067,76.56549072,18285,262.5102539
Yonge-Doris,18.56148529,23.13636589,23.02237701,31.75611305,26.79767799,66.20762634,43.91936493,39.54653168,61.01281357,77.47267151,23234,447.619873
